Total,Year,residence,region,wealth_q,elderly_hoh,sex_hoh,sex_ch,mother_edu,age_in_months,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,chweight,breastmilk,cont_1223_bf
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,4.0,100,0,0,0,0,0,0.865385,100,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,39.0,0,0,0,0,0,100,0.865385,0,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,11.0,0,0,100,0,100,100,0.865385,100,
Total,2000,Urban,Great Lake,Rich,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,13.0,0,0,100,100,100,100,0.865385,100,100.0
Total,2000,Urban,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,22.0,0,0,100,100,100,100,0.865385,0,0.0
Total,2000,Urban,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,53.0,0,0,0,0,0,100,0.865385,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,33.0,0,0,0,0,0,100,0.865385,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,27.0,0,0,0,0,0,100,0.865385,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,22.0,0,0,100,100,100,100,0.865385,100,100.0
Total,2000,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,50.0,0,0,0,0,0,100,0.846082,0,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,16.0,0,0,100,100,100,100,0.846082,100,100.0
Total,2000,Urban,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0.0,100,0,0,0,0,0,0.846082,100,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,17.0,0,0,100,100,100,100,0.846082,100,100.0
Total,2000,Urban,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,48.0,0,0,0,0,0,100,0.846082,0,
Total,2000,Urban,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,1.0,100,0,0,0,0,0,0.846082,100,
Total,2000,Urban,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,47.0,0,0,0,0,0,100,0.846082,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,1.0,100,0,0,0,0,0,0.846082,100,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,34.0,0,0,0,0,0,100,0.846082,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,17.0,0,0,100,100,100,100,0.896716,100,100.0
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,20.0,0,0,100,100,100,100,0.896716,100,100.0
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,48.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,43.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,35.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,10.0,0,0,100,0,100,100,0.896716,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,21.0,0,0,100,100,100,100,0.896716,100,100.0
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,39.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,8.0,0,100,0,0,100,100,0.896716,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.896716,100,100.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,5.0,100,0,0,0,0,0,0.896716,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,30.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,30.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,36.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.896716,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: None/ECE,8.0,0,100,0,0,100,100,0.896716,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,32.0,0,0,0,0,0,100,0.896716,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,58.0,0,0,0,0,0,100,0.911446,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,28.0,0,0,0,0,0,100,0.911446,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,,0,0,0,0,0,0,0.911446,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,20.0,0,0,100,100,100,100,0.911446,0,0.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,36.0,0,0,0,0,0,100,0.911446,0,
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,3.0,100,0,0,0,0,0,0.911446,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,21.0,0,0,100,100,100,100,0.911446,100,100.0
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,30.0,0,0,0,0,0,100,0.914809,100,
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,29.0,0,0,0,0,0,100,0.914809,0,
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,27.0,0,0,0,0,0,100,0.914809,0,
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,6.0,0,100,0,0,100,100,0.914809,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,26.0,0,0,0,0,0,100,0.914809,0,
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,23.0,0,0,100,100,100,100,0.914809,0,0.0
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,22.0,0,0,100,100,100,100,0.914809,100,100.0
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,57.0,0,0,0,0,0,100,0.914809,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,47.0,0,0,0,0,0,100,0.914809,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,10.0,0,0,100,0,100,100,0.914809,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,42.0,0,0,0,0,0,100,0.914809,0,
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,9.0,0,0,100,0,100,100,0.914809,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: None/ECE,28.0,0,0,0,0,0,100,0.929784,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.929784,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,19.0,0,0,100,100,100,100,0.929784,0,0.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: None/ECE,5.0,100,0,0,0,0,0,0.929784,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,5.0,100,0,0,0,0,0,0.929784,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,5.0,100,0,0,0,0,0,0.929784,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,23.0,0,0,100,100,100,100,0.910748,0,0.0
Total,2000,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,37.0,0,0,0,0,0,100,0.910748,100,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,3.0,100,0,0,0,0,0,0.910748,100,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,0.910748,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,3.0,100,0,0,0,0,0,0.910748,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,26.0,0,0,0,0,0,100,0.910748,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,6.0,0,100,0,0,100,100,0.910748,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,43.0,0,0,0,0,0,100,0.910748,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,36.0,0,0,0,0,0,100,0.910748,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,31.0,0,0,0,0,0,100,0.910748,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,4.0,100,0,0,0,0,0,0.910748,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,16.0,0,0,100,100,100,100,0.914377,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,14.0,0,0,100,100,100,100,0.914377,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,48.0,0,0,0,0,0,100,0.914377,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,14.0,0,0,100,100,100,100,0.914377,100,100.0
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,27.0,0,0,0,0,0,100,0.914377,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,10.0,0,0,100,0,100,100,0.914377,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,28.0,0,0,0,0,0,100,0.914377,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,19.0,0,0,100,100,100,100,0.914377,0,0.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,6.0,0,100,0,0,100,100,0.914377,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,20.0,0,0,100,100,100,100,0.914377,0,0.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,17.0,0,0,100,100,100,100,0.914377,100,100.0
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,7.0,0,100,0,0,100,100,0.914377,100,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,44.0,0,0,0,0,0,100,0.904924,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,3.0,100,0,0,0,0,0,0.904924,100,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,42.0,0,0,0,0,0,100,0.904924,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,13.0,0,0,100,100,100,100,0.904924,100,100.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,41.0,0,0,0,0,0,100,0.904924,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,51.0,0,0,0,0,0,100,0.904924,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,,0,0,0,0,0,0,0.904924,0,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,0.904924,100,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,12.0,0,0,100,100,100,100,0.904924,0,0.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,17.0,0,0,100,100,100,100,0.904924,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,41.0,0,0,0,0,0,100,0.904924,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.904924,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,33.0,0,0,0,0,0,100,0.904924,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,18.0,0,0,100,100,100,100,0.918392,100,100.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,8.0,0,100,0,0,100,100,0.918392,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,,0,0,0,0,0,0,0.918392,0,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,3.0,100,0,0,0,0,0,0.918392,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,28.0,0,0,0,0,0,100,0.918392,0,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.918392,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,0.918392,100,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,42.0,0,0,0,0,0,100,0.918392,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,30.0,0,0,0,0,0,100,0.918392,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,38.0,0,0,0,0,0,100,0.918392,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,15.0,0,0,100,100,100,100,0.918392,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,9.0,0,0,100,0,100,100,0.918392,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,25.0,0,0,0,0,0,100,0.918392,100,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,4.0,100,0,0,0,0,0,0.918392,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,58.0,0,0,0,0,0,100,0.918392,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,46.0,0,0,0,0,0,100,0.918392,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,6.0,0,100,0,0,100,100,0.918392,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,6.0,0,100,0,0,100,100,0.899881,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,27.0,0,0,0,0,0,100,0.899881,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,,0,0,0,0,0,0,0.899881,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.899881,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,15.0,0,0,100,100,100,100,0.899881,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,30.0,0,0,0,0,0,100,0.899881,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,56.0,0,0,0,0,0,100,0.899881,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,9.0,0,0,100,0,100,100,0.899881,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,20.0,0,0,100,100,100,100,0.899881,0,0.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,23.0,0,0,100,100,100,100,0.899881,0,0.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,21.0,0,0,100,100,100,100,0.899881,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,11.0,0,0,100,0,100,100,0.899881,100,
Total,2000,Rural,Great Lake,Poorest,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,15.0,0,0,100,100,100,100,0.899881,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,26.0,0,0,0,0,0,100,0.899881,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,10.0,0,0,100,0,100,100,0.899881,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,11.0,0,0,100,0,100,100,0.899881,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,23.0,0,0,100,100,100,100,0.908366,100,100.0
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,0.908366,100,
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,42.0,0,0,0,0,0,100,0.908366,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,4.0,100,0,0,0,0,0,0.908366,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.908366,0,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,22.0,0,0,100,100,100,100,0.908366,100,100.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,23.0,0,0,100,100,100,100,0.908366,0,0.0
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,17.0,0,0,100,100,100,100,0.908366,100,100.0
Total,2000,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,10.0,0,0,100,0,100,100,0.908366,100,
Total,2000,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,40.0,0,0,0,0,0,100,0.908366,0,
Total,2000,Rural,Great Lake,Middle,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,,0,0,0,0,0,0,0.908366,0,
